Name,Alias,IATA,ICAO,call_sign,Country,Active,child_price_rate,
Air Sofia,\N,,SFB,AIR SOFIA,Bulgaria,N,0.3,
AeroMéxico,\N,AM,AMX,AEROMEXICO,Mexico,Y,0.3,
Air Ambar,\N,,AMY,AIR AMBAR,Dominican Republic,N,0.3,
Amiya Airline,\N,,AMZ,AMIYA AIR,Nigeria,N,0.3,
All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y,0.3,
Air Navigation And Trading Co. Ltd.,\N,,ANB,AIR NAV,United Kingdom,N,0.3,
Anglo Cargo,\N,,ANC,ANGLO,United Kingdom,N,0.3,
Air Nostrum,\N,YW,ANE,AIR NOSTRUM,Spain,Y,0.3,
Air Niugini,\N,PX,ANG,NUIGINI,Papua New Guinea,Y,0.3,
Air Arabia,\N,G9,ABY,ARABIA,United Arab Emirates,Y,0.3,
Air Canada,\N,AC,ACA,AIR CANADA,Canada,Y,0.3,
Airport Bratsk,\N,,BRP,AEROBRA,Russia,N,0.3,
Air Wings,\N,,BSB,ARBAS,Moldova,N,0.3,
Air Baltic,\N,BT,BTI,AIRBALTIC,Latvia,Y,0.3,
Alajnihah for Air Transport,\N,,ANH,ALAJNIHAH,Libya,N,0.3,
Air Atlantic (Nig) Limited,\N,,ANI,NIGALANTIC,Nigeria,N,0.3,
Air Nippon,\N,EL,ANK,ANK AIR,Japan,Y,0.3,
Antares Airtransport,\N,,ANM, Maintenance & Service GmbH,ANTARES,N,0.3,
Airnorth,\N,TL,ANO,TOPEND,Australia,Y,0.3,
Aerol,\N,,ANQ,ANTIOQUIA,Colombia,N,0.3,
Andes Lineas Aereas,\N,,ANS,AEROANDES,Argentina,N,0.3,
Air North Charter - Canada,\N,4N,ANT,AIR NORTH,Canada,Y,0.3,
Air Nevada,\N,,ANV,AIR NEVADA,United States,N,0.3,
AOM French Airlines,\N,IW,AOM,French Lines,France,N,0.3,
Aviacion Del Noroeste,\N,,ANW, S.A. de C.V.,AVINOR,N,0.3,
Air New Zealand,\N,NZ,ANZ,NEW ZEALAND,New Zealand,Y,0.3,
Avia Jaynar,\N,,SAP,TOBOL,Kazakhstan,N,0.3,
Aero Servicios Empresariales,\N,,EMS,SERVIEMPRESARIAL,Mexico,N,0.3,
Alcon Servicios Aereos,\N,,AOA, S.A. de C.V.,ALCON,N,0.3,
AVCOM,\N,J6,AOC,AERO AVCOM,Russia,N,0.3,
Aero Vodochody,\N,,AOD,AERO CZECH,Czech Republic,N,0.3,
Air One Executive,\N,,AOE, ,Italy,N,0.3,
Atair Pty Ltd.,\N,,AOF,ATAIR,South Africa,N,0.3,
Aero VIP,\N,2D,AOG,AVIP,Argentina,N,0.3,
Aeromundo Ejecutivo,\N,,MUN,AEROMUNDO,Mexico,N,0.3,
Aerolinea Muri,\N,,MUR,MURI,Mexico,N,0.3,
Astoria,\N,,AOI, Inc.,ASTORIA,N,0.3,
Aero Rent JSC,\N,,NRO,AEROMASTER,Russia,N,0.3,
Aeronord-Grup,\N,,NRP,AERONORD,Moldova,N,0.3,
Aeroatlantico Colombia,\N,,AOK,,Colombia,N,0.3,
Angkor Airlines,\N,,AOL,ANGKOR AIR,Cambodia,N,0.3,
Aero Entreprise,\N,,AON,AERO ENTERPRISE,France,N,0.3,
As,\N,,AOO, Opened Joint Stock Company,COMPANY AS,N,0.3,
Aeropiloto,\N,,AOP,AEROPILOTO,Portugal,N,0.3,
Aeroenlaces Nacionales,\N,,VIV,AEROENLACES,Mexico,N,0.3,
Aerovis Airlines,\N,,VIZ,AEROVIZ,Ukraine,N,0.3,
Avjet International (FZE),\N,,VJE,,United Arab Emirates,N,0.3,
Aerovista Gulf Express,\N,,VGF,VISTA GULF,United Arab Emirates,N,0.3,
